State,County,Year,Median AQI,Days Ozone,Days PM2.5,Days NO2,Days PM10
Alabama,Baldwin,2021,37,199,81,0,0
Alabama,Clay,2021,36,0,110,0,0
Alabama,DeKalb,2021,37,298,63,0,0
Alabama,Elmore,2021,32,241,0,0,0
Alabama,Etowah,2021,38,201,85,0,0
Alabama,Jefferson,2021,56,47,317,1,0
Alabama,Lawrence,2021,28,0,100,0,0
Alabama,Madison,2021,49,59,285,0,13
Alabama,Mobile,2021,53,35,326,0,0
Alabama,Montgomery,2021,44,86,268,0,0
Alabama,Morgan,2021,47,71,294,0,0
Alabama,Russell,2021,47,51,313,0,0
Alabama,Shelby,2021,35,243,0,0,0
Alabama,Sumter,2021,35,91,264,0,0
Alabama,Tuscaloosa,2021,34,188,92,0,0
Alaska,Aleutians East ,2021,13,0,118,0,0
Alaska,Anchorage ,2021,28,0,277,0,86
Alaska,Denali ,2021,33,360,3,0,0
Alaska,Fairbanks North Star ,2021,42,66,298,0,1
Alaska,Juneau ,2021,20,0,353,0,4
Alaska,Kenai Peninsula ,2021,9,0,121,0,0
Alaska,Matanuska-Susitna ,2021,15,0,300,0,54
Alaska,North Slope ,2021,5,0,114,0,0
Arizona,Apache,2021,15,0,67,0,292
Arizona,Cochise,2021,45,307,2,0,56
Arizona,Coconino,2021,46,356,9,0,0
Arizona,Gila,2021,46,341,4,0,20
Arizona,La Paz,2021,46,351,7,0,4
Arizona,Maricopa,2021,122,295,27,0,43
Arizona,Mohave,2021,19,0,2,0,361
Arizona,Navajo,2021,44,337,4,0,24
Arizona,Pima,2021,56,147,145,0,73
Arizona,Pinal,2021,70,135,48,0,182
Arizona,Santa Cruz,2021,52,0,295,0,65
Arizona,Yavapai,2021,44,331,0,0,0
Arizona,Yuma,2021,50,174,146,0,45
Arkansas,Arkansas,2021,39,0,120,0,0
Arkansas,Ashley,2021,42,0,120,0,0
Arkansas,Clark,2021,32,338,0,0,0
Arkansas,Crittenden,2021,45,98,265,2,0
Arkansas,Garland,2021,45,0,120,0,0
Arkansas,Jackson,2021,39,0,120,0,0
Arkansas,Newton,2021,37,330,35,0,0
Arkansas,Polk,2021,40,293,67,0,0
Arkansas,Pulaski,2021,54,36,327,2,0
Arkansas,Union,2021,48,0,116,0,0
Arkansas,Washington,2021,48,101,264,0,0
California,Alameda,2021,53,99,263,3,0
California,Amador,2021,37,365,0,0,0
California,Butte,2021,53,177,185,0,3
California,Calaveras,2021,46,216,148,0,0
California,Colusa,2021,55,60,291,0,14
California,Contra Costa,2021,47,139,226,0,0
California,Del Norte,2021,31,0,323,0,0
California,El Dorado,2021,43,349,9,0,7
California,Fresno,2021,68,146,209,0,10
California,Glenn,2021,42,183,172,0,10
California,Humboldt,2021,29,219,78,0,56
California,Imperial,2021,60,134,126,0,105
California,Inyo,2021,61,152,185,0,28
California,Kern,2021,84,151,199,0,15
California,Kings,2021,64,119,168,0,78
California,Lake,2021,33,335,19,0,2
California,Los Angeles,2021,79,148,199,13,5
California,Madera,2021,58,210,131,0,24
California,Marin,2021,38,149,214,2,0
California,Mariposa,2021,49,292,73,0,0
California,Mendocino,2021,46,76,289,0,0
California,Merced,2021,54,210,151,0,4
California,Mono,2021,27,0,241,0,123
California,Monterey,2021,41,161,194,0,10
California,Napa,2021,41,74,65,0,0
California,Nevada,2021,50,208,157,0,0
California,Orange,2021,55,124,232,5,4
California,Placer,2021,58,220,144,0,1
California,Plumas,2021,67,0,365,0,0
California,Riverside,2021,89,191,127,0,47
California,Sacramento,2021,55,195,166,0,4
California,San Benito,2021,41,280,79,0,6
California,San Bernardino,2021,87,191,155,7,12
California,San Diego,2021,67,163,199,0,3
California,San Francisco,2021,39,162,195,8,0
California,San Joaquin,2021,55,114,231,0,20
California,San Luis Obispo,2021,53,190,167,0,8
California,San Mateo,2021,36,199,163,3,0
California,Santa Barbara,2021,44,180,184,0,1
California,Santa Clara,2021,53,90,275,0,0
California,Santa Cruz,2021,37,187,178,0,0
California,Shasta,2021,46,271,94,0,0
California,Siskiyou,2021,43,178,186,0,0
California,Solano,2021,44,172,193,0,0
California,Sonoma,2021,37,156,203,0,6
California,Stanislaus,2021,61,136,225,0,4
California,Sutter,2021,59,95,268,0,1
California,Tehama,2021,47,256,109,0,0
California,Trinity,2021,38,0,328,0,0
California,Tulare,2021,81,173,187,0,5
California,Tuolumne,2021,41,360,0,0,0
California,Ventura,2021,53,214,140,0,11
California,Yolo,2021,42,215,149,0,1
Colorado,Adams,2021,49,174,88,52,51
Colorado,Alamosa,2021,12,0,120,0,0
Colorado,Arapahoe,2021,46,352,13,0,0
Colorado,Archuleta,2021,45,345,0,0,20
Colorado,Boulder,2021,52,228,136,0,1
Colorado,Chaffee,2021,58,112,0,0,0
Colorado,Clear Creek,2021,49,357,0,0,0
Colorado,Delta,2021,43,319,39,0,7
Colorado,Denver,2021,55,142,116,107,0
Colorado,Douglas,2021,48,295,63,0,0
Colorado,El Paso,2021,47,333,32,0,0
Colorado,Fremont,2021,15,0,0,0,86
Colorado,Garfield,2021,49,357,8,0,0
Colorado,Gilpin,2021,46,363,0,0,0
Colorado,Grand,2021,48,21,0,0,0
Colorado,Gunnison,2021,46,365,0,0,0
Colorado,Jackson,2021,7,0,116,0,0
Colorado,Jefferson,2021,47,363,0,2,0
Colorado,La Plata,2021,47,325,38,0,0
Colorado,Larimer,2021,54,298,67,0,0
Colorado,Mesa,2021,46,271,94,0,0
Colorado,Montezuma,2021,44,364,1,0,0
Colorado,Park,2021,48,322,0,0,0
Colorado,Pitkin,2021,14,0,48,0,74
Colorado,Prowers,2021,19,0,0,0,361
Colorado,Pueblo,2021,23,0,83,0,137
Colorado,Rio Blanco,2021,48,251,114,0,0
Colorado,Routt,2021,15,0,0,0,354
Colorado,San Juan,2021,9,0,119,0,0
Colorado,San Miguel,2021,48,199,0,0,53
Colorado,Weld,2021,54,259,106,0,0
Connecticut,Fairfield,2021,46,133,221,9,0
Connecticut,Hartford,2021,42,127,226,12,0
Connecticut,Litchfield,2021,38,249,114,0,0
Connecticut,Middlesex,2021,39,207,0,0,0
Connecticut,New Haven,2021,46,138,218,8,1
Connecticut,New London,2021,39,135,228,0,0
Connecticut,Tolland,2021,39,201,0,0,0
Connecticut,Windham,2021,34,361,0,0,0
Country Of Mexico,BAJA CALIFORNIA NORTE,2021,69,0,365,0,0
Country Of Mexico,SONORA,2021,34,105,0,0,0
Delaware,Kent,2021,42,183,177,0,0
Delaware,New Castle,2021,48,137,228,0,0
Delaware,Sussex,2021,40,232,133,0,0
District Of Columbia,District of Columbia,2021,51,108,235,22,0
Florida,Alachua,2021,39,129,235,0,0
Florida,Baker,2021,42,101,264,0,0
Florida,Bay,2021,46,65,300,0,0
Florida,Brevard,2021,45,121,244,0,0
Florida,Broward,2021,49,68,292,5,0
Florida,Citrus,2021,44,0,360,0,0
Florida,Collier,2021,42,101,262,0,0
Florida,Columbia,2021,44,86,278,0,0
Florida,Duval,2021,52,43,322,0,0
Florida,Escambia,2021,49,80,285,0,0
Florida,Flagler,2021,33,353,0,0,0
Florida,Hamilton,2021,46,0,336,0,0
Florida,Highlands,2021,33,358,0,0,0
Florida,Hillsborough,2021,51,71,294,0,0
Florida,Holmes,2021,48,41,321,0,0
Florida,Indian River,2021,36,360,0,0,0
Florida,Lake,2021,34,356,0,0,0
Florida,Lee,2021,41,160,201,0,4
Florida,Leon,2021,48,44,321,0,0
Florida,Liberty,2021,32,364,0,0,0
Florida,Manatee,2021,32,365,0,0,0
Florida,Marion,2021,42,144,221,0,0
Florida,Martin,2021,44,73,292,0,0
Florida,Miami-Dade,2021,46,67,291,7,0
Florida,Okaloosa,2021,33,357,0,0,8
Florida,Orange,2021,33,364,0,1,0
Florida,Osceola,2021,33,355,0,0,0
Florida,Palm Beach,2021,43,122,243,0,0
Florida,Pasco,2021,35,365,0,0,0
Florida,Pinellas,2021,47,104,261,0,0
Florida,Polk,2021,45,94,271,0,0
Florida,Putnam,2021,16,0,0,0,340
Florida,Santa Rosa,2021,44,91,273,0,0
Florida,Sarasota,2021,45,90,275,0,0
Florida,Seminole,2021,42,135,230,0,0
Florida,St. Lucie,2021,33,363,0,0,0
Florida,Volusia,2021,47,98,265,0,0
Florida,Wakulla,2021,41,97,266,0,0
Georgia,Bibb,2021,48,47,318,0,0
Georgia,Charlton,2021,25,0,121,0,0
Georgia,Chatham,2021,51,31,332,0,0
Georgia,Chattooga,2021,33,245,0,0,0
Georgia,Clarke,2021,49,61,304,0,0
Georgia,Clayton,2021,44,0,121,0,0
Georgia,Cobb,2021,41,188,97,0,0
Georgia,Coffee,2021,35,0,116,0,0
Georgia,Columbia,2021,33,245,0,0,0
Georgia,Dawson,2021,36,245,0,0,0
Georgia,DeKalb,2021,49,59,288,18,0
Georgia,Dougherty,2021,51,0,352,0,0
Georgia,Douglas,2021,38,244,0,0,0
Georgia,Floyd,2021,38,0,354,0,0
Georgia,Fulton,2021,53,44,318,3,0
Georgia,Glynn,2021,38,185,137,0,0
Georgia,Gwinnett,2021,49,71,253,0,0
Georgia,Hall,2021,46,0,365,0,0
Georgia,Henry,2021,39,140,220,0,0
Georgia,Houston,2021,49,0,359,0,0
Georgia,Lowndes,2021,46,0,358,0,0
Georgia,Murray,2021,38,223,53,0,0
Georgia,Muscogee,2021,43,87,266,0,0
Georgia,Pike,2021,36,352,0,0,0
Georgia,Richmond,2021,51,77,286,0,1
Georgia,Rockdale,2021,39,243,0,0,0
Georgia,Sumter,2021,35,245,0,0,0
Georgia,Walker,2021,53,0,233,0,0
Georgia,Washington,2021,51,0,365,0,0
Hawaii,Hawaii,2021,27,0,365,0,0
Hawaii,Honolulu,2021,28,266,89,2,7
Hawaii,Kauai,2021,17,0,329,35,0
Hawaii,Maui,2021,21,0,363,0,0
Idaho,Ada,2021,46,207,150,7,1
Idaho,Bannock,2021,44,96,195,0,74
Idaho,Benewah,2021,51,0,364,0,0
Idaho,Blaine,2021,23,0,350,0,0
Idaho,Boise,2021,49,0,365,0,0
Idaho,Bonner,2021,37,0,319,0,45
Idaho,Bonneville,2021,31,0,356,0,0
Idaho,Butte,2021,42,350,13,0,0
Idaho,Canyon,2021,46,0,347,0,18
Idaho,Custer,2021,8,0,110,0,0
Idaho,Franklin,2021,28,0,365,0,0
Idaho,Idaho,2021,42,186,179,0,0
Idaho,Kootenai,2021,31,0,357,0,0
Idaho,Latah,2021,20,0,360,0,0
Idaho,Lemhi,2021,47,0,365,0,0
Idaho,Nez Perce,2021,34,0,365,0,0
Idaho,Shoshone,2021,49,0,362,0,1
Idaho,Twin Falls,2021,28,0,361,0,0
Idaho,Valley,2021,41,0,351,0,0
Illinois,Adams,2021,40,242,0,0,0
Illinois,Champaign,2021,44,143,222,0,0
Illinois,Clark,2021,34,363,0,0,0
Illinois,Cook,2021,59,78,255,7,25
Illinois,DuPage,2021,51,100,265,0,0
Illinois,Effingham,2021,37,237,0,0,0
Illinois,Hamilton,2021,48,83,281,0,0
Illinois,Jersey,2021,45,120,240,0,0
Illinois,Jo Daviess,2021,36,362,0,0,0
Illinois,Kane,2021,44,189,96,0,0
Illinois,Lake,2021,42,244,0,0,0
Illinois,Macon,2021,51,92,269,0,0
Illinois,Macoupin,2021,31,227,0,131,0
Illinois,Madison,2021,57,65,300,0,0
Illinois,McHenry,2021,49,115,248,0,0
Illinois,McLean,2021,48,89,276,0,0
Illinois,Peoria,2021,50,92,269,0,0
Illinois,Randolph,2021,45,119,236,0,0
Illinois,Rock Island,2021,49,95,266,0,0
Illinois,Saint Clair,2021,53,63,300,2,0
Illinois,Sangamon,2021,43,100,262,0,0
Illinois,Will,2021,52,83,282,0,0
Illinois,Winnebago,2021,49,114,246,0,0
Indiana,Allen,2021,40,226,139,0,0
Indiana,Bartholomew,2021,43,163,201,0,0
Indiana,Boone,2021,33,365,0,0,0
Indiana,Brown,2021,33,361,0,0,0
Indiana,Carroll,2021,34,365,0,0,0
Indiana,Clark,2021,52,59,306,0,0
Indiana,Delaware,2021,37,293,69,0,0
Indiana,Dubois,2021,43,0,119,0,6
Indiana,Elkhart,2021,45,139,226,0,0
Indiana,Floyd,2021,34,363,0,0,0
Indiana,Greene,2021,38,287,69,0,0
Indiana,Hamilton,2021,44,155,210,0,0
Indiana,Hendricks,2021,33,365,0,0,0
Indiana,Henry,2021,38,0,117,0,0
Indiana,Howard,2021,44,164,197,0,0
Indiana,Knox,2021,36,360,0,0,0
Indiana,LaPorte,2021,37,309,56,0,0
Indiana,Lake,2021,54,53,308,2,2
Indiana,Madison,2021,48,124,240,0,0
Indiana,Marion,2021,58,31,332,2,0
Indiana,Monroe,2021,43,0,352,0,0
Indiana,Perry,2021,36,363,0,0,0
Indiana,Porter,2021,47,149,205,0,11
Indiana,Posey,2021,32,360,0,0,0
Indiana,Shelby,2021,33,365,0,0,0
Indiana,Spencer,2021,42,0,120,0,0
Indiana,St. Joseph,2021,52,96,269,0,0
Indiana,Tippecanoe,2021,44,0,349,0,0
Indiana,Vanderburgh,2021,51,76,289,0,0
Indiana,Vigo,2021,51,100,265,0,0
Indiana,Wabash,2021,35,362,0,0,0
Indiana,Warrick,2021,35,365,0,0,0
Indiana,Whitley,2021,47,0,361,0,0
Iowa,Black Hawk,2021,47,0,365,0,0
Iowa,Bremer,2021,40,244,0,0,0
Iowa,Cerro Gordo,2021,19,0,0,0,120
Iowa,Clinton,2021,55,62,303,0,0
Iowa,Harrison,2021,39,243,0,0,0
Iowa,Johnson,2021,52,0,364,0,0
Iowa,Lee,2021,42,0,101,0,0
Iowa,Linn,2021,52,75,290,0,0
Iowa,Montgomery,2021,42,109,242,0,0
Iowa,Muscatine,2021,45,0,363,0,2
Iowa,Palo Alto,2021,43,136,226,0,0
Iowa,Polk,2021,45,115,243,7,0
Iowa,Pottawattamie,2021,44,0,123,0,1
Iowa,Scott,2021,53,73,241,0,51
Iowa,Van Buren,2021,44,88,274,0,0
Iowa,Woodbury,2021,42,0,115,0,0
Kansas,Chase,2021,27,0,120,0,0
Kansas,Ford,2021,17,0,0,0,358
Kansas,Johnson,2021,46,117,247,0,0
Kansas,Leavenworth,2021,34,348,0,0,0
Kansas,Neosho,2021,51,78,277,0,7
Kansas,Sedgwick,2021,46,188,163,6,8
Kansas,Shawnee,2021,49,86,279,0,0
Kansas,Sherman,2021,17,0,0,0,320
Kansas,Sumner,2021,52,94,266,0,5
Kansas,Trego,2021,43,235,117,2,8
Kansas,Wyandotte,2021,53,78,287,0,0
Kentucky,Bell,2021,52,47,317,0,0
Kentucky,Boone,2021,39,244,0,0,0
Kentucky,Boyd,2021,44,70,282,8,0
Kentucky,Bullitt,2021,37,237,0,0,0
Kentucky,Campbell,2021,44,94,266,2,0
Kentucky,Carter,2021,35,200,77,0,2
Kentucky,Christian,2021,49,66,299,0,0
Kentucky,Daviess,2021,48,88,275,0,0
Kentucky,Edmonson,2021,36,326,35,0,0
Kentucky,Fayette,2021,47,66,280,16,1
Kentucky,Greenup,2021,34,231,0,0,0
Kentucky,Hancock,2021,38,241,0,0,0
Kentucky,Hardin,2021,43,117,247,0,0
Kentucky,Jefferson,2021,54,68,297,0,0
Kentucky,Jessamine,2021,38,227,0,0,0
Kentucky,Livingston,2021,39,243,0,0,0
Kentucky,McCracken,2021,44,93,247,21,2
Kentucky,Morgan,2021,35,352,0,0,0
Kentucky,Oldham,2021,39,244,0,0,0
Kentucky,Perry,2021,44,71,294,0,0
Kentucky,Pike,2021,41,92,273,0,0
Kentucky,Pulaski,2021,45,74,287,0,0
Kentucky,Simpson,2021,37,243,0,0,0
Kentucky,Trigg,2021,35,345,0,0,0
Kentucky,Warren,2021,45,78,285,0,0
Kentucky,Washington,2021,36,362,0,0,0
Louisiana,Ascension,2021,31,346,0,10,0
Louisiana,Bossier,2021,51,61,297,0,7
Louisiana,Caddo,2021,37,268,94,0,0
Louisiana,Calcasieu,2021,51,78,285,2,0
Louisiana,East Baton Rouge,2021,47,85,279,1,0
Louisiana,Iberville,2021,39,307,58,0,0
Louisiana,Jefferson,2021,40,163,191,1,0
Louisiana,Lafayette,2021,42,145,219,0,1
Louisiana,Lafourche,2021,45,112,235,0,0
Louisiana,Livingston,2021,48,83,259,6,0
Louisiana,Orleans,2021,33,0,296,57,2
Louisiana,Ouachita,2021,35,277,72,0,0
Louisiana,Pointe Coupee,2021,32,365,0,0,0
Louisiana,Rapides,2021,38,0,122,0,0
Louisiana,St. Bernard,2021,47,117,242,0,0
Louisiana,St. James,2021,28,330,0,0,0
Louisiana,St. John the Baptist,2021,31,336,0,0,0
Louisiana,St. Martin,2021,34,360,0,0,0
Louisiana,St. Tammany,2021,37,152,200,0,0
Louisiana,Tangipahoa,2021,39,0,110,0,0
Louisiana,Terrebonne,2021,34,0,110,0,0
Louisiana,West Baton Rouge,2021,46,92,272,1,0
Maine,Androscoggin,2021,36,113,239,0,4
Maine,Aroostook,2021,35,198,158,0,9
Maine,Cumberland,2021,36,260,97,5,3
Maine,Hancock,2021,36,332,32,0,0
Maine,Kennebec,2021,33,205,37,0,2
Maine,Knox,2021,35,211,0,0,0
Maine,Oxford,2021,35,170,190,0,0
Maine,Penobscot,2021,33,194,166,0,2
Maine,Washington,2021,33,344,16,0,0
Maine,York,2021,37,240,0,0,0
Maryland,Anne Arundel,2021,38,240,0,0,22
Maryland,Baltimore,2021,47,178,177,10,0
Maryland,Baltimore (City),2021,43,99,230,35,0
Maryland,Calvert,2021,39,223,0,0,0
Maryland,Carroll,2021,41,243,0,0,0
Maryland,Cecil,2021,44,158,200,0,0
Maryland,Charles,2021,38,242,0,0,0
Maryland,Dorchester,2021,41,254,111,0,0
Maryland,Frederick,2021,41,244,0,0,0
Maryland,Garrett,2021,39,266,99,0,0
Maryland,Harford,2021,46,174,183,0,0
Maryland,Howard,2021,36,0,256,109,0
Maryland,Kent,2021,40,208,149,0,0
Maryland,Montgomery,2021,42,193,168,0,0
Maryland,Prince George's,2021,41,290,69,6,0
Maryland,Washington,2021,44,155,205,0,0
Massachusetts,Barnstable,2021,36,346,13,0,0
Massachusetts,Berkshire,2021,44,72,293,0,0
Massachusetts,Bristol,2021,39,230,135,0,0
Massachusetts,Dukes,2021,36,337,19,0,0
Massachusetts,Essex,2021,38,184,181,0,0
Massachusetts,Franklin,2021,44,101,264,0,0
Massachusetts,Hampden,2021,46,83,278,4,0
Massachusetts,Hampshire,2021,35,204,147,0,1
Massachusetts,Middlesex,2021,37,157,198,10,0
Massachusetts,Norfolk,2021,37,185,180,0,0
Massachusetts,Plymouth,2021,39,147,218,0,0
Massachusetts,Suffolk,2021,44,65,289,11,0
Massachusetts,Worcester,2021,45,97,265,3,0
Michigan,Allegan,2021,42,176,185,0,0
Michigan,Bay,2021,28,0,363,0,0
Michigan,Benzie,2021,36,251,0,0,0
Michigan,Berrien,2021,40,250,0,0,0
Michigan,Cass,2021,40,265,0,0,0
Michigan,Clinton,2021,37,239,0,0,0
Michigan,Genesee,2021,41,165,200,0,0
Michigan,Huron,2021,37,246,0,0,0
Michigan,Ingham,2021,46,105,257,1,0
Michigan,Kalamazoo,2021,50,72,277,0,0
Michigan,Kent,2021,49,123,237,5,0
Michigan,Keweenaw,2021,14,0,117,0,0
Michigan,Lenawee,2021,46,112,210,0,0
Michigan,Macomb,2021,51,114,251,0,0
Michigan,Manistee,2021,38,241,28,0,0
Michigan,Mason,2021,38,243,0,0,0
Michigan,Missaukee,2021,45,85,270,0,0
Michigan,Monroe,2021,19,0,0,0,61
Michigan,Muskegon,2021,40,265,0,0,0
Michigan,Oakland,2021,39,233,63,0,0
Michigan,Ottawa,2021,49,101,264,0,0
Michigan,Schoolcraft,2021,37,175,185,0,0
Michigan,St. Clair,2021,48,118,247,0,0
Michigan,Tuscola,2021,34,353,0,0,0
Michigan,Washtenaw,2021,46,150,215,0,0
Michigan,Wayne,2021,58,33,319,5,8
Michigan,Wexford,2021,34,360,0,0,0
Minnesota,Anoka,2021,41,217,141,6,1
Minnesota,Becker,2021,52,28,329,0,0
Minnesota,Beltrami,2021,29,0,341,0,0
Minnesota,Carlton,2021,31,191,174,0,0
Minnesota,Cass,2021,54,0,352,0,0
Minnesota,Cook,2021,9,0,328,0,0
Minnesota,Crow Wing,2021,36,179,178,0,0
Minnesota,Dakota,2021,39,0,349,16,0
Minnesota,Goodhue,2021,39,216,0,0,0
Minnesota,Hennepin,2021,45,92,219,18,36
Minnesota,Lake,2021,31,183,179,0,0
Minnesota,Lyon,2021,39,159,200,0,0
Minnesota,Mille Lacs,2021,36,245,0,0,0
Minnesota,Olmsted,2021,39,201,160,0,0
Minnesota,Ramsey,2021,39,0,344,0,21
Minnesota,Saint Louis,2021,37,219,133,2,11
Minnesota,Scott,2021,39,209,142,0,0
Minnesota,Stearns,2021,40,132,230,0,0
Minnesota,Washington,2021,35,227,0,0,0
Minnesota,Winona,2021,24,0,116,0,0
Minnesota,Wright,2021,43,148,209,0,0
Mississippi,Bolivar,2021,44,94,266,0,0
Mississippi,DeSoto,2021,46,85,279,0,0
Mississippi,Forrest,2021,51,0,363,0,0
Mississippi,Hancock,2021,45,62,298,0,0
Mississippi,Harrison,2021,45,61,298,0,0
Mississippi,Hinds,2021,52,30,335,0,0
Mississippi,Jackson,2021,44,108,251,0,0
Mississippi,Lauderdale,2021,31,245,0,0,0
Mississippi,Lee,2021,36,242,0,0,0
Mississippi,Yalobusha,2021,31,359,0,0,0
Missouri,Andrew,2021,39,245,0,0,0
Missouri,Boone,2021,37,245,0,0,0
Missouri,Buchanan,2021,44,0,310,0,55
Missouri,Callaway,2021,39,245,0,0,0
Missouri,Cass,2021,42,156,209,0,0
Missouri,Cedar,2021,42,148,202,0,0
Missouri,Clay,2021,41,206,144,0,0
Missouri,Clinton,2021,38,245,0,0,0
Missouri,Greene,2021,38,188,135,0,42
Missouri,Jackson,2021,53,0,319,5,41
Missouri,Jasper,2021,38,218,0,0,142
Missouri,Jefferson,2021,44,145,210,0,10
Missouri,Lincoln,2021,39,244,0,0,0
Missouri,Monroe,2021,32,363,0,0,2
Missouri,Perry,2021,39,244,0,0,0
Missouri,Saint Charles,2021,41,245,0,0,0
Missouri,Saint Louis,2021,42,153,192,20,0
Missouri,Sainte Genevieve,2021,39,245,0,0,0
Missouri,St. Louis City,2021,55,50,305,1,9
Missouri,Stoddard,2021,30,0,109,0,0
Missouri,Taney,2021,27,0,118,0,0
Montana,Cascade,2021,27,0,365,0,0
Montana,Fergus,2021,41,296,68,0,1
Montana,Flathead,2021,39,181,144,0,40
Montana,Gallatin,2021,41,0,358,5,0
Montana,Lake,2021,9,0,117,0,0
Montana,Lewis and Clark,2021,44,218,147,0,0
Montana,Lincoln,2021,56,0,362,0,3
Montana,Missoula,2021,56,63,302,0,0
Montana,Phillips,2021,36,260,96,0,5
Montana,Powder River,2021,42,202,134,1,21
Montana,Powell,2021,12,0,117,0,0
Montana,Ravalli,2021,28,0,358,0,0
Montana,Richland,2021,38,273,75,0,3
Montana,Roosevelt,2021,16,0,100,0,0
Montana,Rosebud,2021,38,171,113,6,73
Montana,Sanders,2021,42,0,350,0,6
Montana,Sheridan,2021,17,0,120,0,0
Montana,Silver Bow,2021,33,0,325,0,40
Montana,Yellowstone,2021,40,0,340,0,0
Nebraska,Cass,2021,19,0,0,0,351
Nebraska,Douglas,2021,43,165,189,0,11
Nebraska,Gage,2021,55,0,184,0,0
